Player,Code,Tm,2023-24
Isaac Bonga,isaac_bonga,Bayern Munchen,1100000
Isaia Cordinier,isaia_cordinier,Virtus Segafredo Bologna,1200000
Isaiah Canaan,isaiah_canaan,Olympiacos,900000
Ismael Kamagate,ismael_kamagate,EA7 Emporio Armani Milano,700000
Ismaila Diagne,ismaila_diagne,Real Madrid,600000
Ivan Kharchenkov,ivan_kharchenkov,Bayern Munchen,800000
Jabari Parker,jabari_parker,Barcelona,1500000
Jaime Pradilla,jaime_pradilla,Valencia Basket,800000
Jake Cohen,jake_cohen,Maccabi Playtika Tel Aviv,800000
Jaleen Smith,jaleen_smith,Partizan Mozzart Bet,500000
Jaleen Smith,jaleen_smith,Virtus Segafredo Bologna,500000
James Nnaji,james_nnaji,Barcelona,500000
James Nunnally,james_nunnally,Partizan Mozzart Bet,1100000
James Webb III,james_webb_iii,Maccabi Playtika Tel Aviv,1000000
Jan Niklas Wimberg,jan_niklas_wimberg,Bayern Munchen,800000
Jan Vesely,jan_vesely,Barcelona,1200000
Jared Harper,jared_harper,Valencia Basket,500000
Jaron Blossomgame,jaron_blossomgame,AS Monaco,900000
Jasiel Rivero,jasiel_rivero,Maccabi Playtika Tel Aviv,1000000
Javonte Smart,javonte_smart,Crvena zvezda Meridianbet,600000
Jerian Grant,jerian_grant,Panathinaikos,1000000
Joe Thomasson,joe_thomasson,Maccabi Playtika Tel Aviv,500000
Joel Bolomboy,joel_bolomboy,Crvena zvezda Meridianbet,1000000
Joel Parra,joel_parra,Barcelona,700000
Joffrey Lauvergne,joffrey_lauvergne,LDLC ASVEL,1000000
Johannes Thiemann,johannes_thiemann,ALBA Berlin,1000000
Johannes Voigtmann,johannes_voigtmann,EA7 Emporio Armani Milano,1000000
John Brown,john_brown,AS Monaco,800000
John DiBartolomeo,john_dibartolomeo,Maccabi Playtika Tel Aviv,600000
John Egbunu,john_egbunu,LDLC ASVEL,500000
Johnathan Motley,johnathan_motley,Fenerbahce Beko,1200000
Jonas Mattisseck,jonas_mattisseck,ALBA Berlin,500000
Jordan Loyd,jordan_loyd,AS Monaco,1700000
Jordan Mickey,jordan_mickey,Virtus Segafredo Bologna,1000000
Jordan Theodore,jordan_theodore,Baskonia,800000
Josep Puerto,josep_puerto,Valencia Basket,500000
Josh Nebo,josh_nebo,Maccabi Playtika Tel Aviv,1200000
Juancho Hernangomez,juancho_hernangomez,Panathinaikos,2200000
Justin Anderson,justin_anderson,Valencia Basket,500000
Justin Bean,justin_bean,ALBA Berlin,800000
Justus Hollatz,justus_hollatz,Anadolu Efes,800000
Karolis Lukosiunas,karolis_lukosiunas,Zalgiris,500000
Kasparas Jakucionis,kasparas_jakucionis,Barcelona,500000
Kassius Robertson,kassius_robertson,Valencia Basket,600000
Keenan Evans,keenan_evans,Zalgiris,1400000
Kemba Walker,kemba_walker,AS Monaco,1800000
Kendrick Nunn,kendrick_nunn,Panathinaikos,2400000
Kevarrius Hayes,kevarrius_hayes,Zalgiris,1000000
Kevin Pangos,kevin_pangos,EA7 Emporio Armani Milano,1000000
